keyword,category,subcategory
Addiction,Human Services,"Mental Health, Crisis Intervention"
Adoption,Human Services,"Mental Health, Crisis Intervention"
Aged,Human Services,Senior Services
AIDS,Human Services,Health Care
Alcoholics,Human Services,"Mental Health, Crisis Intervention"
Alcoholism,Human Services,"Mental Health, Crisis Intervention"
Arts,,"Arts, Culture and Humanities"
Autism,Human Services,Disability rights
Autistic,Human Services,Disability rights
Business Development,Trade Development,
Cancer,,Health Care
Child abuse,Human Services,Child and Family Services
Christ,Religious Organization,
Christian,Religious Organization,
Commerce,Trade Development,
Disabilities,Human Services,Disability rights
Disability,Human Services,Disability rights
Disabled,Human Services,Disability rights
Domestic Violence,Human Services,"Mental Health, Crisis Intervention"
Drug Abuse,Human Services,"Mental Health, Crisis Intervention"
Economic Development,Trade Development,
Education,Educational Institutions and Related Activities,
Educational,Educational Institutions and Related Activities,
Elderly,Human Services,Senior Services
Employee,Labor/Workers' Rights,
Food Bank,,Nutrition & Wellness
Food Drive,,Nutrition & Wellness
Foster Care,Human Services,"Mental Health, Crisis Intervention"
Gay,,LGBTQ rights
HIV,,Health Care
Homeless,Human Services,"Housing, Shelter"
Homelessness,Human Services,"Housing, Shelter"
Immigration,Human Rights,Civil and political rights
Islam,Religious Organization,
Jew,Religious Organization,
Jewish,Religious Organization,
Labor Union,Labor/Workers' Rights,
Lesbian,,LGBTQ rights
Low income,Human Services,
Mentally Challenged,Human Services,Disability rights
Mentally Disabled,Human Services,Disability rights
Military,Military and Veterans Organization,
Moslem,Religious Organization,
Muslim,Religious Organization,
Museum,,"Arts, Culture and Humanities"
Nutrition,,Nutrition & Wellness
Physically Challenged,Human Services,Disability rights
Rape,Human Services,"Mental Health, Crisis Intervention"
Rehab,Human Services,"Mental Health, Crisis Intervention"
Rehabilitation,Human Services,"Mental Health, Crisis Intervention"
Retarded,Human Services,Disability rights
Senior Citizens,Human Services,Senior Services
Seniors,Human Services,Senior Services
Sexual Abuse,Human Services,"Mental Health, Crisis Intervention"
Sexual Assault,Human Services,"Mental Health, Crisis Intervention"
Special Needs,Human Services,Disability rights
Substance Abuse,Human Services,"Mental Health, Crisis Intervention"
Theater,,"Arts, Culture and Humanities"
Trans,,LGBTQ rights
Veteran,Military and Veterans Organization,
Vets,Military and Veterans Organization,
Veterans,Military and Veterans Organization,
Worker,Labor/Workers' Rights,
